popularity,duration,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,label
49.0,256.26892,0.19460000000000002,236.84354,-7.734,96.935,0.015,4,0.967,8,0.489,1,0.529,0.47100000000000003,0.294,0.0476,0.915,8.63e-06,0.127,0.438,256269,0
73.0,176.76,0.06385,172.29787,-7.641,78.461,0.722,3,0.20400000000000001,1,0.682,0,0.622,0.799,0.452,0.0466,0.23800000000000002,0.000133,0.0878,0.732,176760,1
82.0,155.74203,0.09868,141.43274,-7.974,148.153,0.756,4,1.0,1,0.527,1,0.38,0.669,0.682,0.293,0.0016500000000000002,0.011600000000000001,0.339,0.34500000000000003,155742,1
75.0,195.81332,0.38757,191.83167,-1.627,100.034,0.10300000000000001,4,1.0,6,0.248,1,0.337,0.769,0.926,0.07880000000000001,0.012700000000000001,0.0,0.28500000000000003,0.551,195813,1
66.0,158.62721,0.0,158.62721,-4.871,97.02,0.6990000000000001,4,1.0,2,0.02,1,0.46900000000000003,0.81,0.68,0.34600000000000003,0.0059,0.0,0.112,0.419,158627,1
82.0,229.93819,0.30195000000000005,229.93819,-6.9350000000000005,76.006,0.091,4,1.0,5,0.6960000000000001,1,0.683,0.5700000000000001,0.5730000000000001,0.47600000000000003,0.156,0.0,0.256,0.517,229938,1
77.0,200.54794,0.0,192.67918,-6.634,72.993,0.037,4,1.0,2,0.052000000000000005,1,0.34500000000000003,0.8250000000000001,0.41400000000000003,0.14400000000000002,0.00265,0.0,0.357,0.106,200548,1
47.0,197.49805,0.35982000000000003,176.22205,-5.946,97.983,0.547,4,1.0,1,0.514,1,0.653,0.732,0.67,0.0621,0.461,0.00033000000000000005,0.116,0.811,197498,0
71.0,175.31914,0.23211,163.04472,-7.362,91.005,0.798,4,1.0,8,0.162,0,0.14,0.807,0.481,0.0713,0.0264,1.28e-06,0.112,0.748,175319,1
82.0,123.87098,0.0,118.43338,-8.565,77.444,0.176,4,1.0,0,0.511,1,0.5660000000000001,0.704,0.537,0.302,0.223,0.0,0.122,0.7000000000000001,123871,1
53.0,172.25696,0.0,160.29897,-5.8469999999999995,107.996,0.8,4,1.0,7,0.7010000000000001,0,0.72,0.8200000000000001,0.599,0.0364,0.335,1.3900000000000002e-05,0.0795,0.669,172257,0
81.0,184.89333,0.12776,172.81451,-6.045,88.506,0.052000000000000005,4,1.0,1,0.8140000000000001,1,0.734,0.646,0.597,0.401,0.11,0.0,0.09580000000000001,0.6000000000000001,184893,1
