danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
0.799,0.452,0.0466,0.23800000000000002,0.000133,0.0878,0.732
0.669,0.682,0.293,0.0016500000000000002,0.011600000000000001,0.339,0.34500000000000003
0.769,0.926,0.07880000000000001,0.012700000000000001,0.0,0.28500000000000003,0.551
0.81,0.68,0.34600000000000003,0.0059,0.0,0.112,0.419
0.5700000000000001,0.5730000000000001,0.47600000000000003,0.156,0.0,0.256,0.517
0.8250000000000001,0.41400000000000003,0.14400000000000002,0.00265,0.0,0.357,0.106
0.807,0.481,0.0713,0.0264,1.28e-06,0.112,0.748
0.704,0.537,0.302,0.223,0.0,0.122,0.7000000000000001
0.646,0.597,0.401,0.11,0.0,0.09580000000000001,0.6000000000000001
0.731,0.549,0.0329,0.0154,9.119999999999999e-06,0.0825,0.449
0.649,0.461,0.0449,0.44,0.0,0.108,0.485
0.7000000000000001,0.543,0.0414,0.187,0.00031499999999999996,0.388,0.382
0.795,0.437,0.063,0.562,3.7899999999999997e-06,0.0801,0.353
0.734,0.613,0.0345,0.0049,0.011600000000000001,0.359,0.22
0.685,0.542,0.391,0.305,7.429999999999999e-06,0.112,0.396
0.519,0.445,0.20600000000000002,0.434,0.0,0.258,0.505
0.39,0.607,0.303,0.632,0.00016199999999999998,0.138,0.34700000000000003
0.8230000000000001,0.487,0.34700000000000003,0.08600000000000001,2.85e-05,0.17200000000000001,0.17200000000000001
0.805,0.525,0.06380000000000001,0.11900000000000001,0.00203,0.0779,0.6930000000000001
0.849,0.631,0.0637,0.171,0.0,0.149,0.55
0.646,0.533,0.11800000000000001,0.0589,1.75e-06,0.269,0.249
0.6950000000000001,0.896,0.0847,0.179,0.0,0.0626,0.508
0.841,0.545,0.222,0.268,0.0,0.25,0.305
0.684,0.877,0.0611,0.0477,0.0,0.34400000000000003,0.599
0.779,0.554,0.06670000000000001,0.0608,0.0,0.0942,0.299
0.885,0.353,0.0912,0.08660000000000001,5.780000000000001e-05,0.17300000000000001,0.316
0.393,0.724,0.0825,0.06760000000000001,0.0,0.20500000000000002,0.147
